"id"	"品资所编号"	"品种名称"	"系谱"	"原名"	"来源"	"原产地"	"选育单位"	"株高"	"千粒重"	"选育年限"	"备注"
"120"	"3"	"丰抗10号(78-5236)"	"有芒红7号/洛夫林10号"				"中国农科院作物所"	"100"	"38.0"	"1978"	
"121"	"3"	"丰抗13(78-鉴7022)"	"北京14(抗)/抗引655"				"中国农科院作物所"	"100"	"33.0"	"1978"	
"122"	"3"	"丰抗12(78-5860)"	"蚰包/抗引655"				"中国农科院作物所"	"80"	"32.0"	"1978"	
"123"	"3"	"78-5272"	"有芒白4号/洛夫林10号"				"中国农科院作物所"	"85"	"36.0"	"1978"	
"124"	"3"	"77K314Y"	"沙瑞克F70/科春14"				"中国农科院作作物所"	"95"	"0.0"	"1978"	
"125"	"3"	"旱7"	"北京8号/定县72"				"北京市农科院作物所"			"1978"	
"126"	"3"	"混197"	"北京8号//内乡36/早红玉"				"北京市农科院作物所"			"1978"	
"127"	"3"	"6534C-29-33"	"北京8号//亥恩亥德/欧柔"				"北京市农科院作物所"	"100"	"35.0"	"1978"	
"128"	"3"	"78-5249"	"有芒白4号/洛夫林10号"				"北京市农科院作物所"	"85"	"38.0"	"1978"	
"129"	"3"	"78-5283"	"有芒白4号/洛夫林10号"				"北京市农科院作物所"	"85"	"35.0"	"1978"	
"130"	"3"	"4068.0"	"早洋麦/农大183"				"北京市农科院作物所"	"110"	"0.0"	"1978"	
"131"	"3"	"京红7号"	"京红1号/纳里诺59"				"中国农林科学院农业所"	"85"	"0.0"		
"132"	"3"	"京红8号"	"京红4号/墨巴66"				"中国农林科学院农业所"	"90"	"0.0"	"1975"	
"133"	"3"	"京红9号"	"京红4号/墨巴66"				"中国农林科学院农业所"	"85"	"0.0"	"1975"	
"134"	"3"	"京春6082(中7402)"	"St1472/506/京红5号"				"中国农林科学院农业所"	"85"	"40.0"	"197"	
"135"	"3"	"京春6133"	"维卡姆F70//奈纳里60/70-5321"				"中国农林科学院农业所"	"65"	"33.0"	"1972"	
"136"	"3"	"中760"	"京红4号/他诺瑞"				"中国农林科学院农业所"	"75"	"0.0"		
"137"	"3"	"中7605"	"洛夫林13/国际锈圃68-181"				"中国农林科学院农业所"	"85"	"42.0"	"1976"	
"138"	"3"	"中7712"	"70-5321/沙巴蒂.索诺拉64"				"中国农林科学院农业所"	"87"	"36.0"	"1976"	
"139"	"3"	"农科1号"	"维尔/北京8号//北京6号"				"中国农林科学院农业所"	"95"	"0.0"	"1975"	
"140"	"3"	"九三红"	"6303/3653"				"中国农林科学院农业所"	"95"	"0.0"	"1975"	
"141"	"3"	"九三白"	"北京8号/舒瓦齐星//5819"				"中国农林科学院农业所"	"100"	"0.0"	"1975"	
"142"	"3"	"鉴26"	"中阿1号/St2422/46"				"中国农林科学院农业所"	"90"	"0.0"	"1977"	
"143"	"3"	"6206.0"	"6010-736/6303//北京8号"				"中国农林科学院农业所"	"95"	"0.0"	"1977"	
"144"	"3"	"6421.0"	"6303/阿夫//6303/农大45"				"中国农林科学院农业所"	"90"	"0.0"	"1977"	
"145"	"3"	"中7606"	"洛夫林13/国际锈圃68-181"				"中国农林科学院农业所"	"75"	"44.0"	"1973"	
"146"	"3"	"7017.0"	"974/大粒麦792//咸农39/St2422/464"				"中国农林科学院农业所"	"100"	"0.0"		
"147"	"3"	"定11"	"欧柔系选"				"中国农科院农场"	"100"	"0.0"	"1977"	
"148"	"3"	"抗锈10号"	"碧蚂1号/尤皮1号//3×碧蚂1号"				"中国农科院植保所"	"108"	"38.0"	"1975"	
