"库编号"	"统一编号"	"品种名称"	"译名"	"科"	"属"	"拉丁学名"	"选育单位"	"方法及组合"	"单位编号"	"籼粳"	"早中晚"	"水陆"	"粘糯"	"米色"	"芒长"	"粒形状"	"粒长度"	"颖尖色"	"颖壳色"	"株高"	"出穗期"	"糙米率"	"精米率"	"垩白率"	"蛋白质"	"赖氨酸"	"总淀粉"	"直链淀粉"	"支链淀粉"	"糊化温度"	"胶稠度"	"苗瘟"	"白叶枯"	"纹枯病"	"褐稻虱"	"白背飞虱"	"芽期耐寒"	"苗期耐旱"	"耐盐"	"备注"	"省份"	"样品类型"
"I1A24991"	"ZD-00492"	"金垦18号"	"JIN KEN 18 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"嘉兴地区农科所"	"金南风/农垦58"	"063"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"75"	"9.18"	"83.90"	"75.80"	" "	"7.99"	"0.252"	"78.99"	"16.2"	"71.6"	"7.0"	"76"	"7"	"3"	" "	"9"	"7"	" "	" "	" "	" "	"浙江"	"选育"
"I1A24992"	"ZD-00493"	"金垦19号"	"JIN KEN 19 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"嘉兴地区农科所"	"金南风/农垦58"	"064"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"75"	"9.18"	"84.10"	"75.80"	" "	"10.63"	"0.350"	"75.77"	"15.6"	"68.6"	"7.0"	"68"	"9"	"4"	" "	"7"	"9"	"3"	" "	"7"	" "	"浙江"	"选育"
" "	"ZD-00494"	"桂猪糯"	"GUI ZHU NUO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"嘉兴地区农科所"	"桂花黄/猪血糯"	"065"	"粳"	"晚"	"水"	"糯"	"乳白"	"无"	"阔卵"	"短"	"紫红"	"红"	"68"	"9.26"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00495"	"二九箩"	"ER JIU LUO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"吴兴农科所"	"二九矮7号/九箩矮"	"095"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	" "	" "	"黄"	"85"	"6.25"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00496"	"世界糯"	"SHI JIE NUO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"吴兴农科所"	"农垦58/红壳晚"	"094"	"粳"	"晚"	"水"	"糯"	"乳白"	"无"	"椭圆"	" "	" "	"黄"	"100"	"9.20"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00497"	"新华73-1"	"XIN HUA 73-1"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"吴兴新华大对"	"竹莲矮中选育"	" "	"籼"	"早"	"水"	"粘"	"白"	"短"	"椭圆"	"中"	"秆黄"	"秆黄"	"78"	"6.22"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"9"	" "	"9"	" "	"浙江"	"选育"
" "	"ZD-00498"	"六十红"	"LIU SHI HONG"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"吴兴新华大对"	"拖过山系选"	"093"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	" "	"秆黄"	"红"	"110"	"9.20"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00499"	"桐矮早1号"	"TONG AI ZAO 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"桐乡良种场"	"矮脚南特/莲塘早"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"黄"	"75"	"6.27"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00500"	"桐青晚"	"TONG QING WAN"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"桐乡良种场"	"农虎6号系选"	" "	"粳"	"晚"	"水"	"粘"	"白"	"无"	"阔卵"	" "	"秆黄"	"秆黄"	"78"	"9.24"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00501"	"青金1号"	"QING JIN 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"金华地区农科所"	"青董6号/金美"	"025"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"短"	"秆黄"	"秆黄"	" "	"6.25"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00502"	"72-4"	"72-4"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"金华地区农科所"	"农红73系选"	"041"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"红褐"	"赤褐秆黄"	"90"	"9.27"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00503"	"衢晚1号"	"QU WAN 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"衢县农科所"	"矮南早1号/油占仔"	" "	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"75"	"9.20"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A24993"	"ZD-00504"	"绍糯2号"	"SHAO NUO 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"绍兴地区农科所"	"龙菲313/矮泉糯"	"069"	"籼"	"早"	"水"	"糯"	"乳白"	"无"	"圆"	"短"	"秆黄"	"黄"	"85"	"7.1"	"75.70"	"68.10"	" "	"11.26"	"0.379"	"75.34"	"1.7"	"82.0"	"6.0"	"100"	"8"	"9"	" "	"7"	" "	"3"	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00505"	"绍选1号"	"SHAO XUAN 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"绍兴地区农科所"	"珍龙13号中系选"	" "	"籼"	"中"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"黄"	"70"	"6.24"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00506"	"科早2号"	"KE ZAO 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"诸暨农科所"	"69-1系选"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"细长"	" "	"秆黄"	"黄"	"73"	"6.22"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A33391"	"ZD-00507"	"嵊农2号(26早)"	"SHENG NONG 2 HAO (26 ZAO )"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"嵊县农科所"	"二九陆1号/691"	"097"	"籼"	"早"	"水"	"粘"	"白"	"短"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"6.25"	"77.10"	"69.00"	" "	"8.82"	"0.295"	"79.01"	"26.0"	"61.8"	"5.0"	"38"	"9"	"4"	" "	"7"	"7"	"5"	" "	"9"	" "	"浙江"	"选育"
" "	"ZD-00508"	"科桂优"	"KE GUI YOU"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"嵊县农科所"	"科情3号/桂花黄"	"096"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"短圆"	"短"	"秆黄"	"秆黄"	"110"	"9.20"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00509"	"矮大头"	"AI DA TOU"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"宁波地区农科所"	"矮脚南特系选"	"072"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"黄"	"80"	"7.8"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A33392"	"ZD-00510"	"八垦57"	"BA KEN 57"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"宁波地区农科所"	"八五三/农垦57"	"070"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"阔卵"	"中"	"秆黄"	"黄"	"85"	"9.15"	"81.60"	"73.00"	" "	"7.94"	"0.284"	"80.56"	"18.3"	"71.2"	"6.7"	"100"	"9"	"4"	" "	"7"	"9"	"5"	" "	"9"	" "	"浙江"	"选育"
"I1A24994"	"ZD-00511"	"宁选晚4号"	"NING XUAN WAN 4 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"宁波地区农科所"	"白壳老虎稻系选"	"071"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"阔卵"	"短"	"秆黄"	"黄"	"85"	"9.40"	"73.10"	"65.60"	" "	"8.53"	"0.302"	"79.48"	"18.3"	"70.0"	"7.0"	"85"	"9"	"4"	" "	"9"	"9"	"5"	" "	"9"	" "	"浙江"	"选育"
" "	"ZD-00512"	"早籼141"	"ZAO XIAN 141"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"台州地区农科所"	"不脱早/温革"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	" "	"65"	"6.23"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"不落粒"	"浙江"	"选育"
" "	"ZD-00513"	"印二矮"	"YIN ER AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"台州地区农科所"	"二九矮4号/印度粘"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"黄"	"81"	"9.20"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"早中籼作连晚"	"浙江"	"选育"
" "	"ZD-00514"	"早新糯"	"ZAO XIN NUO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"台州地区农科所"	"籼糯/创新糯"	" "	"籼"	"早"	"水"	"糯"	"乳白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"6.27"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00515"	"梅糯"	"MEI NUO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"台州地区农科所"	"红梅早/科字250(糯)"	" "	"籼"	"早"	"水"	"糯"	"乳白"	"无"	"椭圆"	"中"	"紫"	" "	"74"	"7.1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A24995"	"ZD-00516"	"甲农66"	"JIA NONG 66"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"黄岩三甲洞心大对"	"桂花黄系选"	"038"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"短"	"秆黄"	"秆黄"	"80"	"9.24"	"82.10"	"73.90"	" "	"8.22"	"0.263"	"78.91"	"16.0"	"71.7"	"7.0"	"89"	"9"	"4"	" "	"7"	"7"	" "	" "	" "	" "	"浙江"	"选育"
"I1A45946"	"ZD-00517"	"甲农糯8"	"JIA NONG NUO 8"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"黄岩三甲洞心大队"	"桂花黄系选"	"037"	"粳"	"晚"	"水"	"糯"	"乳白"	"无"	"椭圆"	"短"	"红褐"	"褐"	"90"	"9.27"	"82.12"	"72.59"	"100"	"6.11"	" "	" "	"1.1"	" "	"7.0"	"80"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A24996"	"ZD-00518"	"珍龙13"	"ZHEN LONG 13"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"龙菲313/珍汕97"	"026"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	"中"	" "	"秆黄"	" "	"7.23"	"81.60"	"69.58"	"100"	"9.93"	" "	" "	"23.7"	" "	"5.0"	"47"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A24997"	"ZD-00519"	"早丰收"	"ZAO FENG SHOU"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"(南稗自交系/元丰)F//矮脚南特/珍株矮11"	"075"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	" "	" "	"黄"	"65"	"6.10"	"82.02"	"74.59"	"100"	"10.07"	"0.296"	"77.82"	"24.8"	"60.2"	"5.5"	"39"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A33393"	"ZD-00520"	"珍汕98"	"ZHEN SHAN 98"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"珍珠矮1/珍矮选4号"	"076"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	" "	"紫"	"黄"	"73"	"6.29"	"78.50"	"70.50"	" "	"10.57"	"0.363"	"76.21"	"27.5"	"57.2"	"5.1"	"39"	"7"	"4"	" "	"9"	"7"	"7"	" "	" "	" "	"浙江"	"选育"
"I1A45947"	"ZD-00521"	"温革"	"WEN GE"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"龙菲313/珍汕96"	"077"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	" "	" "	"黄"	"70"	"6.25"	"81.40"	"73.40"	" "	"8.55"	"0.275"	"78.08"	"23.8"	"63.0"	"5.8"	"30"	"7"	"5"	" "	"9"	"5"	"5"	" "	"9"	" "	"浙江"	"选育"
"I1A24998"	"ZD-00522"	"温珍"	"WEN ZHEN"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"龙菲313/珍汕96"	"078"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	" "	" "	"黄"	"68"	"6.25"	"80.30"	"72.40"	" "	"9.36"	"0.313"	"77.52"	"27.4"	"58.7"	"5.0"	"32"	"9"	"4"	" "	"7"	"7"	" "	" "	" "	" "	"浙江"	"选育"
"I1A33394"	"ZD-00523"	"温矮早"	"WEN AI ZAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"珍汕99/龙菲313"	"079"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	" "	"紫"	"黄"	"65"	"6.20"	"81.90"	"73.90"	" "	"14.83"	"0.505"	"70.61"	"20.5"	"58.0"	"6.0"	"29"	"9"	"5"	" "	"7"	"7"	"5"	" "	"9"	" "	"浙江"	"选育"
"I1A45948"	"ZD-00524"	"温选青"	"WEN XUAN QING"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"龙菲313/珍汕96"	"80"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	" "	" "	"秆黄"	"68"	"6.27"	"80.60"	"72.10"	" "	"8.64"	"0.292"	"78.51"	"28.5"	"58.7"	"5.0"	"32"	"7"	"3"	" "	"7"	" "	"5"	" "	"7"	" "	"浙江"	"选育"
"I1A24999"	"ZD-00525"	"温选紫(珍龙410)"	"WEN XUAN ZI ( ZHEN LONG 410)"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"龙菲313/珍汕96"	"081"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	" "	"紫"	"秆黄"	"65"	"6.27"	"77.78"	"69.19"	"100"	"9.28"	" "	" "	"24.4"	" "	"5.5"	"45"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A33395"	"ZD-00526"	"胜龙"	"SHENG LONG"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"龙菲313/珍汕96"	"082"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	" "	" "	"黄"	"72"	"6.28"	"81.60"	"73.70"	" "	"11.69"	"0.394"	"73.97"	"21.5"	"60.7"	"5.4"	"29"	"7"	"3"	" "	"5"	"5"	"7"	" "	"9"	" "	"浙江"	"选育"
"I1A25000"	"ZD-00527"	"红珍"	"HONG ZHEN"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"红梅早/珍龙13"	"083"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	" "	"紫"	"黄"	"75"	"6.28"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"7"	"4"	" "	"9"	"7"	"3"	" "	" "	" "	"浙江"	"选育"
"I1A25001"	"ZD-00528"	"矮辐9号"	"AI FU 9 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"矮南特χ3万"	"086"	"籼"	"早"	"水"	"粘"	"白"	"无"	" "	"中"	"紫"	"黄"	"80"	"6.27"	"76.20"	"69.00"	" "	"9.72"	"0.331"	"77.11"	"27.4"	"58.3"	"5.0"	"34"	"7"	"4"	" "	"7"	"5"	"5"	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00529"	"二辐早"	"ER FU ZAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"二九矮7号Co3万γ"	"087"	"籼"	"早"	"水"	"粘"	"白"	"无"	" "	" "	"秆黄"	"黄"	"67"	"6.15"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A33396"	"ZD-00530"	"温选10号"	"WEN XUAN 10 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"龙菲313/珍汕97"	"027"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	"中"	"秆黄"	"秆黄"	"矮"	"7.9"	"78.00"	"69.80"	" "	"9.00"	"0.301"	"78.23"	"27.8"	"59.1"	"5.0"	"39"	"5"	"5"	" "	"3"	"9"	"5"	" "	"7"	" "	"浙江"	"选育"
"I1A25002"	"ZD-00531"	"珍汕97"	"ZHEN SHAN 97"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"珍珠矮11/矮选4号"	"028"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"紫"	"秆黄"	"矮"	"6.27"	"78.61"	"70.55"	"100"	"11.35"	" "	" "	"24.0"	" "	"5.5"	"39"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A25003"	"ZD-00532"	"军协"	"JUN XIE"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"珍龙13//珍龙97/科丰"	"029"	"籼"	"早"	"水"	"粘"	"白"	"短"	"椭圆"	"中"	"紫"	"秆黄"	"矮"	"6.27"	"80.58"	"70.64"	"99"	"10.36"	" "	" "	"23.5"	" "	"5.0"	"47"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A25004"	"ZD-00533"	"二九多"	"ER JIU DUO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"二九矮7号/多毛澄海"	"084"	"籼"	"中"	"水"	"粘"	"白"	"无"	"椭圆"	" "	" "	"黄"	"85"	"9.25"	"78.60"	"71.00"	" "	"7.63"	"0.252"	"80.12"	"28.8"	"60.2"	"5.0"	"100"	"8"	"7"	" "	"7"	"9"	"9"	" "	"9"	"中籼作连晚"	"浙江"	"选育"
" "	"ZD-00534"	"珍多晚"	"ZHEN DUO WAN"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"珍珠矮11/多毛澄海"	"085"	"籼"	"中"	"水"	"粘"	"白"	"无"	"椭圆"	" "	" "	"黄"	"90"	"9.29"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"中籼作连晚"	"浙江"	"选育"
"I1A45949"	"ZD-00535"	"矮硬头京"	"AI YING TOU JING"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"硬头京/矮南特"	"088"	"籼"	"中"	"水"	"粘"	"白"	"无"	"椭圆"	" "	"秆黄"	"黄"	"90"	"9.20"	"78.80"	"70.70"	" "	"8.12"	"0.266"	"79.55"	"28.7"	"59.7"	"5.0"	"42"	"5"	"7"	" "	"7"	"3"	"9"	" "	"9"	"中籼作连晚"	"浙江"	"选育"
" "	"ZD-00536"	"二九茶"	"ER JIU CHA"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"温州地区农科所"	"二九矮7号/茶山京"	"089"	"籼"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	" "	"秆黄"	"黄"	"82"	"10.2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A25005"	"ZD-00537"	"丽水糯"	"LI SHUI NUO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"丽水地区农科所"	"爱武/飞老"	"073"	"籼"	"晚"	"水"	"糯"	"乳白"	"无"	"细长"	"长"	"秆黄"	"秆黄"	"75"	"9.20"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"连晚"	"浙江"	"选育"
"I1A33397"	"ZD-00538"	"矮科早"	"AI KE ZAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"丽水地区农科所"	"矮脚南特/科情3号"	"074"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	"中"	"秆黄"	"秆黄"	"65"	"6.20"	"81.30"	"73.30"	" "	"10.87"	"0.361"	"75.03"	"20.4"	"63.0"	"6.4"	"28"	"9"	"4"	" "	"9"	"7"	"9"	" "	"9"	" "	"浙江"	"选育"
" "	"ZD-00539"	"庆元2号"	"QING YUAN 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"庆元县农科所"	"乌谷/珍汕//珍汕"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"紫"	"秆黄"	"75"	"6.25"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"浙江"	"选育"
"I1A33398"	"ZD-00540"	"竹科2号"	"ZHU KE 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"舟山地区农科所"	"竹莲矮/科矮13"	"090"	"籼"	"早"	"水"	"粘"	"白"	"无"	"细长"	"长"	"秆黄"	"黄"	"70"	"7.2"	"81.90"	"73.90"	" "	"14.02"	"0.474"	"71.52"	"20.4"	"59.1"	"6.0"	"29"	"7"	"4"	" "	"7"	"5"	"5"	" "	"9"	" "	"浙江"	"选育"
"I1A45950"	"ZD-00541"	"前哨1号"	"QIAN SHAO 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"舟山地区农科所"	"苏稻1号变异系/桂花黄"	"040"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"75"	"9.16"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"7"	"5"	" "	"9"	"7"	" "	" "	" "	" "	"浙江"	"选育"
" "	"ZD-00542"	"共庆21"	"GONG QING 21"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"上海农科院"	"银不矮181/朝阳1号"	"泸-0004"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"短"	"紫"	"秆黄"	"73"	"7.3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"上海"	"选育"
"I1A39121"	"ZD-00543"	"泸选19"	"LU XUAN 19"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. keng Ting(粳亚种)"	"上海农科院"	"农垦58系选"	"泸-8651"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"88"	"9.15"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"上海"	"选育"
