"id"	"抗病性"	"种子千粒重"	"定植期"	"单位编号"	"叶长"	"叶面"	"省"	"备注"	"风味"	"译名"	"繁种单位"	"叶形"	"始收期"	"栽培时期"	"属名"	"主薹高"	"抗虫性"	"熟性"	"分枝性"	"叶面刺毛"	"耐热性"	"主薹粗"	"叶缘"	"末收期"	"纤维含量"	"叶裂片"	"抗逆性"	"品种名称"	"耐涝性"	"株型"	"学名"	"叶色"	"贮藏性"	"播种期"	"耐寒性"	"叶柄宽"	"叶裂刻"	"耐旱性"	"叶柄厚"	"株高"	"单株薹数"	"品种来源"	"叶宽"	"肉质"	"叶柄色"	"种质库编号"	"统一编号"	"单产"	"株幅"	"品质"	"叶柄长"	"科名"	"生长期"
"21"	"--"	"--"	"--"	"G5-71"	"--"	"--"	"广东"	"--"	"微"	"50 TIAN CAI XIN"	"广东农科院经作所"	"近圆"	"--"	"(9-11,4-5)-(10上-12上,5上-6上)"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"1.0"	"全缘"	"--"	"--"	"无"	"--"	"50天菜心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"32.0"	"--"	"广东东莞市"	"--"	"较脆嫩"	"浅绿"	"Ⅱ2D0032"	"V02D0031"	"--"	"--"	"--"	"10.0"	"Cruciferae(十字花科)"	"46"
"22"	"中"	"--"	"--"	"G5-70"	"--"	"--"	"广东"	"--"	"微"	"QING GU 49 CAI XIN"	"广东农科院经作所"	"椭圆"	"--"	"(4下-9上)-(5下-10上)"	"Brassica(芸薹属)"	"25.0"	"--"	"早"	"--"	"--"	"--"	"1.2"	"全缘"	"--"	"--"	"无"	"中"	"青骨49菜心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1"	"广东东莞市"	"--"	"较脆嫩"	"绿白"	"Ⅱ2D0031"	"V02D0034"	"--"	"--"	"--"	"12.0"	"Cruciferae(十字花科)"	"34"
"23"	"--"	"--"	"--"	"G5-55"	"--"	"--"	"广东"	"耐热"	"微"	"19 HAO CAI XIN"	"广东农科院经作所"	"披针"	"--"	"(4-9)-(5上-10上)"	"Brassica(芸薹属)"	"--"	"--"	"早"	"--"	"--"	"--"	"0.8"	"全缘"	"--"	"--"	"无"	"耐热"	"19号菜心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"25.0"	"--"	"广东广州市"	"--"	"较脆嫩"	"绿白"	"Ⅱ2D0009"	"V02D0050"	"--"	"--"	"--"	"8.0"	"Cruciferae(十字花科)"	"34"
"24"	"中"	"--"	"--"	"G5-112"	"--"	"--"	"广东"	"耐热"	"微"	"SI JIU XIN"	"广东农科院经作所"	"椭圆"	"--"	"(5-9)-(6上-10上)"	"Brassica(芸薹属)"	"22.5"	"--"	"早"	"--"	"--"	"--"	"1.3"	"全缘"	"--"	"--"	"无"	"耐热"	"四九心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"37.5"	"1"	"广东广州市"	"--"	"较脆嫩"	"浅绿"	"Ⅱ2D0077"	"V02D0051"	"--"	"--"	"--"	"13.0"	"Cruciferae(十字花科)"	"34"
"25"	"中"	"--"	"--"	"G5-113"	"--"	"--"	"广东"	"耐热"	"微"	"SAN YUAN LI JI ZAO XIN"	"广东农科院经作所"	"椭圆"	"--"	"(5-9)-(6上-10上)"	"Brassica(芸薹属)"	"20.0"	"--"	"早"	"--"	"--"	"--"	"1.0"	"全缘"	"--"	"--"	"无"	"耐热"	"三元里急早心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"32.5"	"1"	"广东广州市"	"--"	"较脆嫩"	"浅绿"	"Ⅱ2D0078"	"V02D0052"	"--"	"--"	"--"	"10.0"	"Cruciferae(十字花科)"	"32"
"26"	"有虫害"	"--"	"--"	"G5-18"	"--"	"--"	"广东"	"耐运输"	"微"	"QING GENG LIU YE CAI XIN"	"广东农科院经作所"	"卵圆"	"--"	"(6-10)-(7上-11上)"	"Brassica(芸薹属)"	"32.0"	"--"	"早"	"--"	"--"	"--"	"1.6"	"全缘"	"--"	"--"	"无"	"耐热中"	"青梗柳叶菜心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"39.0"	"5"	"广东广州市"	"--"	"较脆嫩"	"浅绿"	"Ⅱ2D0019"	"V02D0053"	"750"	"--"	"--"	"9.0"	"Cruciferae(十字花科)"	"40"
"27"	"--"	"--"	"--"	"G5-115"	"--"	"--"	"广东"	"--"	"微"	"MAO GANG QING GU CAI XIN"	"广东农科院经作所"	"椭圆"	"--"	"(9-10,4-5)-(10上-11上,5上-6上)"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"1.1"	"全缘"	"--"	"--"	"无"	"--"	"茅岗青骨菜心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"41.0"	"--"	"广东广州市"	"--"	"较脆嫩"	"浅绿"	"Ⅱ2D0080"	"V02D0054"	"--"	"--"	"--"	"8.0"	"Cruciferae(十字花科)"	"42"
"28"	"--"	"--"	"--"	"G5-63"	"--"	"--"	"海南"	"耐热"	"--"	"SI JIU CAI XIN"	"广东农科院经作所"	"卵圆"	"--"	"(5-10)-(6上-11上)"	"Brassica(芸薹属)"	"--"	"--"	"早"	"--"	"--"	"--"	"1.2"	"全缘"	"--"	"--"	"无"	"耐热"	"四九菜心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"42.0"	"--"	"海南海口市"	"--"	"较脆嫩"	"白"	"Ⅱ2D0015"	"V02D0109"	"--"	"--"	"--"	"13.0"	"Cruciferae(十字花科)"	"38"
"29"	"抗软腐病强"	"--"	"--"	"200055"	"--"	"--"	"广西"	"抗软腐病"	"甜"	"BAI SE ZHONG HUA CAI XIN"	"广西农科院园艺所"	"椭圆"	"--"	"(9-11)-(11-2)"	"Brassica(芸薹属)"	"27.5"	"--"	"中"	"--"	"--"	"--"	"2.8"	"全缘"	"--"	"--"	"无"	"耐寒热较强"	"百色中花菜心"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"30.0"	"3"	"广西本地"	"--"	"脆嫩"	"绿白"	"Ⅱ2D0059"	"V02D0110"	"2000"	"--"	"--"	"10.0"	"Cruciferae(十字花科)"	"85"
"30"	"抗软腐病中"	"--"	"--"	"200056"	"--"	"--"	"广西"	"耐寒,热"	"甜"	"WU ZHOU CHI CAI XIN (ZHU WAN CHI CAI XIN"	"广西农科院园艺所"	"椭圆"	"--"	"(11-2)-(1-4)"	"Brassica(芸薹属)"	"25.0"	"--"	"晚"	"--"	"--"	"--"	"1.4"	"全缘"	"--"	"--"	"无"	"耐寒热强"	"梧州迟菜心(竹湾迟菜心)"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"58.0"	"4"	"广西本地"	"--"	"脆嫩"	"绿白"	"Ⅱ2D0060"	"V02D0111"	"1750"	"--"	"--"	"14.0"	"Cruciferae(十字花科)"	"55"
