"id"	"熟性"	"炭疽病指"	"保存编号"	"品种名称"	"着果方向"	"食熟果皮色"	"维生素C"	"CMV病指"	"CMV发病率"	"果肉厚"	"统一编号"	"TMV发病率"	"风味"	"老熟种果色"	"外皮薄厚"	"亩产"	"单果重"	"译名"	"备注"	"省"	"首花节位"	"TMV病指"	"果实水分"	"生育期"	"保存单位"	"果形"	"干物质"	"用途"	"辣椒素"	"种子来源"	"株高"	"抗逆性"	"炭疽发病率"	"种质库编号"	"栽培季节"
"50"	"晚"	"0.9800"	"200107"	"玉林白牛角椒"	"向下侧生"	"黄"	"71.79"	"1.3900"	"100.00"	"--"	"V06C0114"	"100.00"	"极辣"	"--"	"--"	"1750"	"30.0"	"YU LIN BAI NIU JIAO JIAO"	"*"	"广西"	"13"	"1.3200"	"少"	"65"	"广西农科院园艺所"	"圆锥形"	"13.9400"	"腌制"	"0.472"	"广西玉林市"	"85.0"	"强"	"96.6"	"Ⅱ6C0794"	"3上播"
"51"	"晚"	"0.3900"	"6-C-22-32"	"灯笼椒"	"向下"	"绿"	"87.00"	"--"	"100.00"	"0.4"	"V06C0115"	"100.00"	"甜"	"红"	"厚"	"1100"	"30.0"	"DENG LONG JIAO"	"*"	"贵州"	"10"	"0.2700"	"多"	"90"	"贵州农科院园艺所"	"方灯笼形"	"13.8600"	"生食"	"0.085"	"贵州安顺市"	"60.0"	"耐热"	"96.8"	"Ⅱ6C0622"	"4中-7中"
"52"	"--"	"0.4100"	"6-C-22-43"	"安顺大辣椒"	"向下"	"绿"	"114.90"	"1.7200"	"86.84"	"0.1"	"V06C0116"	"100.00"	"甜辣"	"桔黄"	"--"	"--"	"11.1"	"AN SHUN DA LA JIAO"	"--"	"贵州"	"9"	"0.3000"	"--"	"75"	"贵州农科院园艺所"	"长柱形"	"15.0000"	"生食熟食"	"0.134"	"贵州安顺市"	"66.0"	"中"	"95.1"	"Ⅱ6C0642"	"3下-5下"
"53"	"晚"	"0.2600"	"6-C-22-54"	"山坝辣椒"	"向下"	"绿"	"102.10"	"1.5300"	"100.00"	"0.2"	"V06C0117"	"57.00"	"极辣"	"红"	"薄"	"1100"	"15.0"	"SHAN BA LA JIAO"	"*"	"贵州"	"10"	"2.2500"	"少"	"90"	"贵州农科院园艺所"	"长柱形"	"10.1300"	"生食制干"	"0.069"	"贵州安顺市"	"70.0"	"耐旱"	"100.0"	"Ⅱ6C0629"	"4中-7中"
"54"	"--"	"0.0700"	"6-C-22-78"	"德江大辣椒"	"向下"	"绿"	"124.80"	"1.3900"	"100.00"	"0.2"	"V06C0123"	"100.00"	"甜"	"红"	"--"	"--"	"17.3"	"DE JIANG DA LA JIAO"	"--"	"贵州"	"10"	"0.6700"	"--"	"87"	"贵州农科院园艺所"	"圆锥形"	"13.3600"	"生食熟食"	"0.098"	"贵州德江县"	"58.0"	"中"	"100.0"	"Ⅱ6C0655"	"3下-5下"
"55"	"晚"	"0.1400"	"6-C-22-50"	"羊角椒"	"向下"	"绿"	"121.20"	"0.7500"	"100.00"	"0.1"	"V06C0127"	"100.00"	"微辣"	"红"	"厚"	"1350"	"16.5"	"YANG JIAO JIAO"	"*引自贵州云枝"	"贵州"	"11"	"1.2800"	"少"	"90"	"贵州农科院园艺所"	"圆锥形"	"12.8100"	"生食"	"0.053"	"贵州都匀市"	"85.0"	"耐旱"	"100.0"	"Ⅱ6C0646"	"4中-7中"
"56"	"--"	"0.2300"	"6-C-22-48"	"都匀辣椒"	"向下"	"绿"	"122.90"	"1.1100"	"100.00"	"0.1"	"V06C0128"	"91.00"	"辣甜"	"红"	"--"	"--"	"15.3"	"DU YUN LA JIAO"	"--"	"贵州"	"10"	"1.2700"	"--"	"87"	"贵州农科院园艺所"	"长柱形"	"12.2100"	"生食熟食"	"0.152"	"贵州都匀市"	"68.5"	"强"	"95.3"	"Ⅱ6C0644"	"3下-5下"
"57"	"晚"	"-0.1500"	"6-C-22-53"	"山辣椒"	"向下"	"绿"	"110.10"	"1.3400"	"100.00"	"0.2"	"V06C0129"	"69.00"	"甜辣"	"红"	"--"	"1000"	"10.1"	"SHAN LA JIAO"	"--"	"贵州"	"12"	"2.2800"	"--"	"--"	"贵州农科院园艺所"	"长柱形"	"11.4900"	"生食"	"0.159"	"贵州都匀市"	"57.5"	"强"	"100.0"	"Ⅱ6C0628"	"3上-5中"
"58"	"--"	"1.2700"	"6-C-b-22-34"	"都匀菜椒"	"向下"	"绿"	"94.53"	"1.6200"	"63.60"	"0.2"	"V06C0130"	"100.00"	"甜辣"	"桔黄"	"--"	"2125"	"11.3"	"DU YUN CAI JIAO"	"--"	"贵州"	"11"	"0.6800"	"--"	"77"	"贵州农科院园艺所"	"长柱形"	"10.4200"	"熟食"	"0.023"	"贵州都匀市"	"62.5"	"中"	"20.0"	"Ⅱ6C0293"	"3下-5下"
"59"	"中"	"0.8500"	"6-C-b-22-19"	"都匀辣椒"	"向下"	"绿"	"111.68"	"1.8800"	"51.72"	"0.1"	"V06C0131"	"72.00"	"中辣"	"红"	"--"	"500"	"5.0"	"DU YUN LA JIAO"	"--"	"贵州"	"16"	"1.6300"	"少"	"--"	"贵州农科院园艺所"	"长柱形"	"14.5800"	"生食制干"	"0.037"	"贵州都匀市"	"61.0"	"中"	"31.7"	"Ⅱ6C0289"	"3上-5中"
