"id"	"熟性"	"科名"	"肉质根形"	"品种名称"	"小裂片对数"	"叶面蜡粉"	"叶面"	"株幅"	"单产"	"省"	"叶裂刻"	"定植期"	"译名"	"叶缘"	"肉质根长"	"播种期"	"属名"	"统一编号"	"芥辣味"	"根肉水分"	"学名"	"抗逆性"	"繁种单位"	"生长期"	"叶柄色"	"贮藏性"	"株型"	"叶色"	"肉质根粗"	"叶面刺毛"	"抗虫性"	"叶形"	"耐涝性"	"耐旱性"	"备注"	"根肉质"	"抗病性"	"收获期"	"单位编号"	"叶翼"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"单根重"	"耐热性"
"61"	"--"	"Cruciferae(十字花科)"	"圆筒"	"海盐大头菜"	"--"	"--"	"平滑"	"--"	"1875"	"浙江"	"--"	"--"	"HAI YAN DA TOU CAI"	"--"	"15.0"	"--"	"Brassica(芸薹属)"	"V03C0124"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"浙江农科院园艺所"	"120"	"--"	"--"	"--"	"深绿"	"7.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"--"	"强"	"--"	"08072"	"--"	"--"	"浙江海盐县"	"腌制"	"Ⅱ3C0072"	"8下-12下"	"--"	"45.0"	"550.0"	"--"
"62"	"--"	"Cruciferae(十字花科)"	"圆筒"	"南浔大头菜"	"--"	"--"	"--"	"--"	"2500"	"浙江"	"--"	"--"	"NAN XUN DA TOU CAI"	"锯齿"	"10.0"	"--"	"Brassica(芸薹属)"	"V03C0125"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"浙江农科院园艺所"	"190"	"--"	"--"	"--"	"深绿"	"9.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"--"	"强"	"--"	"08058"	"--"	"--"	"浙江湖州市"	"腌制"	"Ⅱ3C0045"	"8中-3中"	"--"	"50.0"	"625.0"	"--"
"63"	"--"	"Cruciferae(十字花科)"	"长圆柱"	"大足大头菜"	"--"	"--"	"微皱"	"--"	"2250"	"四川"	"--"	"--"	"DA ZU DA TOU CAI"	"全裂"	"16.0"	"--"	"Brassica(芸薹属)"	"V03C0126"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒"	"重庆市农科所"	"128"	"--"	"--"	"--"	"绿"	"8.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"艮硬"	"有蚜虫及病毒病"	"--"	"B1-019"	"--"	"--"	"四川大足县"	"加工"	"Ⅱ3C0025"	"8下9上-1上中"	"--"	"32.5"	"475.0"	"--"
"64"	"--"	"Cruciferae(十字花科)"	"圆锥"	"奉节大头菜"	"--"	"--"	"微皱"	"--"	"2000"	"四川"	"--"	"--"	"FENG JIE DA TOU CAI"	"锯齿"	"14.0"	"--"	"Brassica(芸薹属)"	"V03C0127"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"较强"	"重庆市农科所"	"144"	"--"	"--"	"--"	"绿"	"8.0"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"艮硬"	"弱"	"--"	"B1-027"	"--"	"--"	"四川奉节县"	"加工"	"Ⅱ3C0160"	"9-1"	"--"	"60.0"	"400.0"	"--"
"65"	"--"	"Cruciferae(十字花科)"	"圆锥"	"大头青菜"	"--"	"--"	"微皱"	"--"	"1000"	"四川"	"--"	"--"	"DA TOU QING CAI"	"锯齿"	"9.0"	"--"	"Brassica(芸薹属)"	"V03C0128"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"重庆市农科所"	"137"	"--"	"--"	"--"	"绿"	"8.5"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"--"	"弱"	"--"	"B1-045"	"--"	"--"	"四川高县"	"腌制"	"Ⅱ3C0048"	"9下-2上"	"--"	"44.0"	"300.0"	"--"
"66"	"--"	"Cruciferae(十字花科)"	"圆锥"	"萝卜头大头菜"	"--"	"--"	"微皱"	"--"	"2150"	"四川"	"--"	"--"	"LUO BU TOU DA TOU CAI"	"锯齿"	"15.0"	"--"	"Brassica(芸薹属)"	"V03C0155"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"重庆市农科所"	"136"	"--"	"--"	"--"	"绿"	"8.0"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"松脆"	"弱"	"--"	"B1-021"	"--"	"--"	"四川璧山县"	"加工"	"Ⅱ3C0046"	"9-1"	"--"	"60.0"	"420.0"	"--"
"67"	"中晚"	"Cruciferae(十字花科)"	"短圆锥"	"花盖菜"	"5-6"	"少"	"微皱"	"36x36"	"--"	"甘肃"	"深裂"	"--"	"HUA GAI CAI"	"浅锯齿"	"9.0"	"3中"	"Brassica(芸薹属)"	"V03C0156"	"浓"	"中"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"甘肃农科院蔬菜所"	"--"	"白绿"	"强"	"半直立"	"绿"	"9.0"	"无"	"抗蚜虫中"	"长椭圆"	"弱"	"强"	"--"	"致密"	"中"	"7中"	"甘Ⅱ3C003"	"无"	"强"	"甘肃成县"	"腌制"	"Ⅱ3C0180"	"--"	"2.0"	"45.0"	"436.0"	"中"
"68"	"中早"	"Cruciferae(十字花科)"	"圆锥"	"光芥"	"2-3"	"无"	"皱"	"40x35"	"24000"	"河北"	"全裂"	"--"	"GUANG JIE"	"浅锯齿"	"11.0"	"8中"	"Brassica(芸薹属)"	"V03C0157"	"中"	"中"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"河北农科院蔬菜所"	"--"	"浅绿"	"强"	"半直立"	"绿"	"7.0"	"少"	"抗蚜虫中"	"椭圆"	"中"	"中"	"--"	"致密"	"抗病毒病中"	"10下"	"芥15号"	"有"	"强"	"河北石家庄市"	"腌制"	"Ⅱ3C0170"	"--"	"2.1"	"60.0"	"170.0"	"中"
"69"	"中"	"Cruciferae(十字花科)"	"短圆锥"	"汝阳大芥"	"--"	"无"	"微皱"	"30x40"	"22500"	"河南"	"浅裂"	"--"	"RU YANG DA JIE"	"浅锯齿"	"11.5"	"8中"	"Brassica(芸薹属)"	"V03C0158"	"浓"	"中"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"河南农科院园艺所"	"--"	"浅绿"	"强"	"半直立"	"绿"	"9.0"	"少"	"中"	"长卵"	"弱"	"中"	"--"	"致密"	"中"	"11上"	"3A0052"	"有"	"中"	"河南汝阳县"	"腌制"	"Ⅱ3C0194"	"--"	"--"	"56.0"	"575.0"	"弱"
"70"	"中"	"Cruciferae(十字花科)"	"短圆锥"	"临汝芥菜"	"--"	"无"	"皱"	"40x50"	"30000"	"河南"	"浅裂"	"--"	"LIN RU JIE CAI"	"浅锯齿"	"15.0"	"8中"	"Brassica(芸薹属)"	"V03C0159"	"中"	"中"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"河南农科院园艺所"	"--"	"白绿"	"强"	"半开展"	"浅绿"	"10.0"	"少"	"中"	"长卵"	"弱"	"中"	"--"	"致密"	"中"	"11上"	"3A0053"	"有"	"中"	"河南临汝县"	"腌制"	"Ⅱ3C0182"	"--"	"--"	"60.0"	"580.0"	"弱"
"71"	"中早"	"Cruciferae(十字花科)"	"长圆锥"	"大白芥菜"	"--"	"--"	"皱"	"33x33"	"30000"	"内蒙"	"--"	"--"	"DA BAI JIE CAI"	"浅锯齿"	"12.0"	"7中下"	"Brassica(芸薹属)"	"V03C0171"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"内蒙农科院蔬菜所"	"--"	"浅绿"	"中"	"直立"	"绿"	"6.0"	"--"	"弱"	"披针"	"中"	"中"	"--"	"致密"	"中"	"9中"	"内3C007"	"--"	"中"	"内蒙开鲁县"	"腌制"	"Ⅱ3C0171"	"--"	"1.0"	"35.0"	"200.0"	"中"
"72"	"中晚"	"Cruciferae(十字花科)"	"荷包形"	"福州大头菜"	"--"	"少"	"微皱"	"66x70"	"37500"	"福建"	"--"	"9下-11上"	"FU ZHOU DA TOU CAI"	"深锯齿"	"13.0"	"9-10"	"Brassica(芸薹属)"	"V03C0172"	"中"	"中"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"福州市蔬菜科研所"	"--"	"浅绿"	"强"	"半直立"	"绿"	"12.0"	"多"	"抗蚜虫弱"	"椭圆"	"--"	"中"	"--"	"致密"	"抗病毒病弱"	"1中-3中"	"92-Kd-5"	"有"	"强"	"福建福州市"	"腌制"	"Ⅱ3C0193"	"--"	"--"	"50.0"	"900.0"	"弱"
"73"	"中晚"	"Cruciferae(十字花科)"	"长圆锥"	"根芥83-02-34-2"	"--"	"--"	"微皱"	"30x27"	"18000"	"云南"	"--"	"--"	"GEN JIE 83-02-34-2"	"浅锯齿"	"18.0"	"8中"	"Brassica(芸薹属)"	"V03C0173"	"浓"	"少"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"云南农科院园艺所"	"--"	"绿"	"强"	"半直立"	"深绿"	"8.1"	"中"	"强"	"长椭圆"	"--"	"强"	"--"	"致密"	"中"	"12-1"	"6#"	"有"	"--"	"云南昆明市"	"腌制"	"Ⅱ3C0181"	"--"	"--"	"41.0"	"480.0"	"--"
"74"	"中"	"Cruciferae(十字花科)"	"圆柱"	"萝卜头大头菜"	"2"	"无"	"微皱"	"60x60"	"37500"	"四川"	"浅裂"	"10上"	"LUO BU TOU DA TOU CAI"	"浅锯齿"	"20.0"	"8下"	"Brassica(芸薹属)"	"V03C0174"	"--"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"成都市第一农科所"	"--"	"浅绿"	"强"	"半直立"	"绿"	"10.0"	"中"	"--"	"倒卵"	"中"	"中"	"--"	"致密"	"--"	"2中"	"B1-001"	"有"	"强"	"四川成都市"	"鲜食"	"Ⅱ3C0173"	"--"	"1.6"	"70.0"	"350.0"	"中"
"75"	"中"	"Cruciferae(十字花科)"	"圆柱"	"二马桩大头菜"	"5-7"	"少"	"平滑"	"50x60"	"37500"	"四川"	"深裂"	"9下-10上"	"ER MA ZHUANG DA TOU CAI"	"浅锯齿"	"15.0"	"9上"	"Brassica(芸薹属)"	"V03C0175"	"浓"	"少"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"成都市第一农科所"	"--"	"绿"	"强"	"直立"	"深绿"	"8.0"	"无"	"--"	"长椭圆"	"强"	"强"	"--"	"致密"	"--"	"1上中"	"B1-051"	"有"	"强"	"四川成都市"	"--"	"Ⅱ3C0174"	"--"	"2.0"	"40.0"	"550.0"	"弱"
"76"	"中"	"Cruciferae(十字花科)"	"圆柱"	"根芥菜"	"4"	"无"	"皱"	"68"	"26250"	"山东"	"浅裂"	"--"	"GEN JIE CAI"	"浅锯齿"	"14.0"	"8上"	"Brassica(芸薹属)"	"V03C0182"	"中"	"少"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"--"	"山东农科院蔬菜所"	"--"	"浅绿"	"强"	"半直立"	"深绿"	"12.0"	"中"	"抗呀虫弱"	"长卵"	"弱"	"中"	"--"	"致密"	"抗病毒病中"	"11中"	"3C019"	"--"	"中"	"山东沂南县"	"腌制"	"Ⅱ3C0210"	"--"	"1.2"	"43.0"	"500.0"	"弱"
