"id"	"熟性"	"科名"	"肉质根形"	"品种名称"	"小裂片对数"	"叶面蜡粉"	"叶面"	"株幅"	"单产"	"省"	"叶裂刻"	"定植期"	"译名"	"叶缘"	"肉质根长"	"播种期"	"属名"	"统一编号"	"芥辣味"	"根肉水分"	"学名"	"抗逆性"	"繁种单位"	"生长期"	"叶柄色"	"贮藏性"	"株型"	"叶色"	"肉质根粗"	"叶面刺毛"	"抗虫性"	"叶形"	"耐涝性"	"耐旱性"	"备注"	"根肉质"	"抗病性"	"收获期"	"单位编号"	"叶翼"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"单根重"	"耐热性"
"11"	"--"	"Cruciferae(十字花科)"	"圆筒"	"荷塘冲菜"	"--"	"--"	"--"	"--"	"2125"	"广东"	"深裂"	"--"	"HE TANG CHONG CAI"	"浅锯齿"	"17.0"	"--"	"Brassica(芸薹属)"	"V03C0011"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒旱"	"广东农科院经作所"	"125"	"--"	"--"	"--"	"黄绿"	"12.5"	"--"	"--"	"倒卵圆"	"--"	"--"	"--"	"松脆"	"--"	"--"	"G11-1"	"--"	"--"	"广东新会县"	"腌制"	"Ⅱ3C0141"	"(9-10)-(1下-2上)"	"--"	"65.0"	"1750.0"	"--"
"12"	"--"	"Cruciferae(十字花科)"	"圆锥"	"信宜圆头菜"	"--"	"--"	"中皱"	"--"	"1400"	"广东"	"--"	"--"	"XIN YI YUAN TOU CAI"	"浅锯齿"	"8.4"	"--"	"Brassica(芸薹属)"	"V03C0012"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"广东农科院经作所"	"78"	"--"	"--"	"--"	"深绿"	"8.2"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"艮硬"	"强"	"--"	"G11-5"	"--"	"--"	"广东信宜县"	"腌制"	"Ⅱ3C0087"	"(9上-10下)-(12下-1下)"	"--"	"45.0"	"150.0"	"--"
"13"	"--"	"Cruciferae(十字花科)"	"圆锥"	"黑苗大头菜"	"--"	"--"	"微皱"	"--"	"1300"	"广东"	"--"	"--"	"HEI MIAO DA TOU CAI"	"浅锯齿"	"13.0"	"--"	"Brassica(芸薹属)"	"V03C0013"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"强"	"广东农科院经作所"	"120"	"--"	"--"	"--"	"深绿"	"4.2"	"--"	"--"	"长披针"	"--"	"--"	"--"	"艮硬"	"弱"	"--"	"G11-4"	"--"	"--"	"广东中山县"	"腌制"	"Ⅱ3C0086"	"(9上-10下)-(12下-1下)"	"--"	"50.0"	"200.0"	"--"
"14"	"--"	"Cruciferae(十字花科)"	"长圆筒"	"横县大头菜"	"--"	"--"	"较平"	"--"	"2750"	"广西"	"无"	"--"	"HENG XIAN DA TOU CAI"	"全缘"	"16.0"	"--"	"Brassica(芸薹属)"	"V03C0014"	"中"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒中"	"广西农科院园艺所"	"140"	"--"	"--"	"--"	"深绿"	"10.0"	"--"	"--"	"倒披针"	"--"	"--"	"--"	"艮硬"	"抗病毒病中"	"--"	"200061"	"--"	"--"	"广西横县"	"腌制"	"Ⅱ3C0055"	"10-2"	"--"	"37.5"	"1125.0"	"--"
"15"	"--"	"Cruciferae(十字花科)"	"圆锥"	"板叶大头菜"	"--"	"--"	"微皱"	"--"	"1500"	"贵州"	"--"	"--"	"BAN YE DA TOU CAI"	"全缘"	"12.0"	"--"	"Brassica(芸薹属)"	"V03C0015"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"中"	"贵州农科院园艺所"	"180"	"--"	"--"	"--"	"绿"	"10.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"松脆"	"强"	"--"	"22-3C-23"	"--"	"--"	"贵州惠水县"	"加工"	"Ⅱ3C0144"	"8下-3上"	"--"	"30.0"	"500.0"	"--"
"16"	"--"	"Cruciferae(十字花科)"	"圆锥"	"思南大头菜"	"--"	"--"	"微皱"	"--"	"1100"	"贵州"	"--"	"--"	"SI NAN DA TOU CAI"	"全缘"	"12.0"	"--"	"Brassica(芸薹属)"	"V03C0016"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"中"	"贵州农科院园艺所"	"180"	"--"	"--"	"--"	"绿"	"7.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"松脆"	"中"	"--"	"3-C-22-5"	"--"	"--"	"贵州思南县"	"加工"	"Ⅱ3C0098"	"8-2"	"--"	"48.0"	"250.0"	"--"
"17"	"--"	"Cruciferae(十字花科)"	"圆柱"	"绥阳大头菜"	"--"	"--"	"微皱"	"--"	"2000"	"贵州"	"--"	"--"	"SUI YANG DA TOU CAI"	"全缘"	"12.5"	"--"	"Brassica(芸薹属)"	"V03C0017"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"耐寒"	"贵州农科院园艺所"	"120"	"--"	"--"	"--"	"绿"	"9.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"艮硬"	"较抗虫"	"--"	"3-C-22-25"	"--"	"--"	"贵州绥阳县"	"腌制"	"Ⅱ3C0099"	"9上-12下"	"--"	"50.0"	"270.0"	"--"
"18"	"--"	"Cruciferae(十字花科)"	"圆球"	"鸡脚叶大头菜"	"--"	"--"	"皱"	"--"	"1750"	"贵州"	"--"	"--"	"JI JIAO YE DA TOU CAI"	"细锯"	"11.3"	"--"	"Brassica(芸薹属)"	"V03C0018"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"中"	"贵州农科院园艺所"	"190"	"--"	"--"	"--"	"绿"	"10.5"	"--"	"--"	"卵圆"	"--"	"--"	"--"	"脆嫩"	"中"	"--"	"3-C-22-3"	"--"	"--"	"贵州绥阳县"	"加工腌制"	"Ⅱ3C0054"	"8下-3上"	"--"	"23.0"	"325.0"	"--"
"19"	"--"	"Cruciferae(十字花科)"	"圆柱"	"小枇杷叶芥菜"	"--"	"--"	"微皱"	"--"	"1500"	"贵州"	"--"	"--"	"XIAO PI PA YE JIE CAI"	"全缘"	"11.0"	"--"	"Brassica(芸薹属)"	"V03C0019"	"浓"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"中"	"贵州农科院园艺所"	"120"	"--"	"--"	"--"	"浓绿"	"7.0"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"松脆"	"中"	"--"	"3-C-22-21"	"--"	"--"	"贵州兴仁县"	"加工腌制"	"Ⅱ3C0136"	"(9-10)-1"	"--"	"40.0"	"500.0"	"--"
"20"	"--"	"Cruciferae(十字花科)"	"圆球"	"鸡啄叶大头菜"	"--"	"--"	"微皱"	"--"	"2800"	"贵州"	"--"	"--"	"JI ZHUO YE DA TOU CAI"	"深锯齿"	"11.0"	"--"	"Brassica(芸薹属)"	"V03C0020"	"淡"	"--"	"Brassica juncea Coss. var. megarrhiza Tsen et Lee(根芥菜)"	"弱"	"贵州农科院园艺所"	"115"	"--"	"--"	"--"	"浓绿"	"11.5"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"松脆"	"弱"	"--"	"3-C-22-14"	"--"	"--"	"贵州遵义市"	"熟食加工"	"Ⅱ3C0097"	"8上-1"	"--"	"35.0"	"700.0"	"--"
